id,dogId,measureTime,ax,ay,az,bcg,gx,gy,gz,temperature
46818,5,2024-08-24 12:54:02.108+00,14942,-6936,3122,8007,-1343,1149,2,39.91962432861328
46820,5,2024-08-24 12:54:02.128+00,14776,-6840,2722,7991,-1041,1375,241,39.91962432861328
46822,5,2024-08-24 12:54:02.148+00,14382,-7180,2308,7980,-1020,1197,623,39.91962432861328
46824,5,2024-08-24 12:54:02.167+00,14270,-7646,2774,8099,-706,520,1208,39.91962432861328
46826,5,2024-08-24 12:54:02.187+00,14368,-7394,2954,8212,-199,-17,1358,39.91962432861328
46828,5,2024-08-24 12:54:02.207+00,14414,-7194,3334,8178,-25,432,842,39.91962432861328
46830,5,2024-08-24 12:54:02.227+00,14214,-7506,3380,8158,171,692,374,39.91962432861328
46832,5,2024-08-24 12:54:02.247+00,14236,-7762,3212,8097,124,867,-119,39.91962432861328
46834,5,2024-08-24 12:54:02.267+00,14042,-7786,3302,8208,125,410,-467,39.91962432861328
46836,5,2024-08-24 12:54:02.287+00,13814,-7188,3266,8221,415,-78,-628,39.91962432861328
46817,5,2024-08-24 12:54:02.098+00,14876,-6862,3328,8016,-1542,1067,-98,39.91962432861328
46819,5,2024-08-24 12:54:02.118+00,14956,-6930,2880,7975,-1145,1255,137,39.91962432861328
46821,5,2024-08-24 12:54:02.138+00,14548,-6950,2446,7993,-1059,1351,371,39.91962432861328
46823,5,2024-08-24 12:54:02.158+00,14356,-7524,2484,8028,-909,851,920,39.91962432861328
46825,5,2024-08-24 12:54:02.177+00,14256,-7602,2964,8153,-397,189,1392,39.91962432861328
46827,5,2024-08-24 12:54:02.197+00,14488,-7244,3060,8172,-72,156,1128,39.91962432861328
46829,5,2024-08-24 12:54:02.217+00,14294,-7314,3446,8156,36,619,599,39.91962432861328
46831,5,2024-08-24 12:54:02.237+00,14200,-7584,3378,8142,206,819,157,39.91962432861328
46833,5,2024-08-24 12:54:02.257+00,14200,-7860,3294,8170,68,664,-322,39.91962432861328
46835,5,2024-08-24 12:54:02.277+00,13878,-7552,3264,8235,282,129,-568,39.91962432861328
46837,5,2024-08-24 12:54:02.297+00,13742,-6848,3368,8211,308,-177,-655,39.91962432861328
46838,5,2024-08-24 12:54:02.308+00,13720,-6532,3406,8114,3,76,-611,39.91962432861328
46839,5,2024-08-24 12:54:02.318+00,13820,-6316,3186,8001,-475,625,-501,39.91962432861328
46840,5,2024-08-24 12:54:02.328+00,14218,-6380,2830,7685,-971,1236,-484,39.91962432861328
46841,5,2024-08-24 12:54:02.338+00,14750,-6850,2284,7616,-1454,1615,-640,39.91962432861328
46842,5,2024-08-24 12:54:02.348+00,15276,-7572,2080,7648,-1568,1508,-933,39.91962432861328
46843,5,2024-08-24 12:54:02.358+00,15516,-8150,2692,7839,-1581,1031,-1196,39.91962432861328
46844,5,2024-08-24 12:54:02.368+00,15014,-8262,3302,8468,-1461,65,-1028,39.91962432861328
46845,5,2024-08-24 12:54:02.378+00,14242,-7816,3612,8684,-933,-1046,-540,39.91962432861328
46846,5,2024-08-24 12:54:02.388+00,13588,-7356,3632,8685,-305,-1800,-83,39.91962432861328
46847,5,2024-08-24 12:54:02.398+00,13380,-6954,3492,8430,95,-2171,268,39.91962432861328
46848,5,2024-08-24 12:54:02.408+00,13526,-6534,3548,8282,353,-2364,510,39.91962432861328
46849,5,2024-08-24 12:54:02.418+00,13920,-6244,3618,8089,430,-2070,457,39.91962432861328
46850,5,2024-08-24 12:54:02.428+00,14464,-6242,3648,7945,315,-1460,112,39.91962432861328
46851,5,2024-08-24 12:54:02.438+00,15014,-6514,3622,7860,122,-798,-354,39.91962432861328
46852,5,2024-08-24 12:54:02.447+00,15406,-6882,3590,7901,23,-110,-765,39.91962432861328
46853,5,2024-08-24 12:54:02.457+00,15600,-7058,3464,8022,-11,320,-968,39.91962432861328
46854,5,2024-08-24 12:54:02.467+00,15442,-7130,3356,8135,-160,740,-987,39.91962432861328
46855,5,2024-08-24 12:54:02.477+00,15082,-7208,3026,8262,-287,975,-904,39.91962432861328
46856,5,2024-08-24 12:54:02.487+00,14434,-7336,2906,8302,-301,796,-558,39.91962432861328
46857,5,2024-08-24 12:54:02.497+00,13972,-7462,2928,8305,-129,513,-1,39.91962432861328
46858,5,2024-08-24 12:54:02.507+00,13854,-7494,2950,8244,79,319,549,39.91962432861328
46859,5,2024-08-24 12:54:02.517+00,14170,-7490,2960,8141,217,170,932,39.91962432861328
46860,5,2024-08-24 12:54:02.527+00,14562,-7472,3162,8150,310,67,1059,39.91962432861328
46861,5,2024-08-24 12:54:02.537+00,14798,-7372,3400,8185,246,134,874,39.91962432861328
46862,5,2024-08-24 12:54:02.547+00,14734,-7220,3478,8280,152,382,580,39.91962432861328
46863,5,2024-08-24 12:54:02.557+00,14542,-7164,3478,8237,-60,903,165,39.91962432861328
46864,5,2024-08-24 12:54:02.567+00,14328,-7270,3444,8241,-356,1340,-216,39.91962432861328
46865,5,2024-08-24 12:54:02.577+00,14176,-7292,3458,8254,-593,1503,-439,39.91962432861328
46866,5,2024-08-24 12:54:02.588+00,14032,-7398,3472,8329,-722,1457,-636,39.91962432861328
46867,5,2024-08-24 12:54:02.598+00,13846,-7468,3680,8353,-794,1238,-668,39.91962432861328
46868,5,2024-08-24 12:54:02.608+00,13592,-7466,3720,8329,-725,1067,-537,39.91962432861328
46869,5,2024-08-24 12:54:02.618+00,13562,-7296,3670,8198,-679,1003,-499,39.91962432861328
46870,5,2024-08-24 12:54:02.628+00,13734,-7146,3570,8129,-718,963,-592,39.93297576904297
46871,5,2024-08-24 12:54:02.638+00,13928,-6818,3404,8120,-983,985,-711,39.93297576904297
