id,dogId,measureTime,ax,ay,az,bcg,gx,gy,gz,temperature
78724,6,2024-08-24 13:40:55.502+00,-88,5556,1776,7396,23821,22542,-1014,38.48832702636719
78729,6,2024-08-24 13:40:55.552+00,7654,6730,-2896,8318,32767,14896,9050,38.48832702636719
78734,6,2024-08-24 13:40:55.602+00,10670,14316,-5736,7679,27864,5655,-1780,38.48832702636719
78739,6,2024-08-24 13:40:55.655+00,9038,23456,-10090,8156,19798,13309,-127,38.50434875488281
78744,6,2024-08-24 13:40:55.703+00,8706,13504,-8394,8345,9885,8814,-11800,38.50434875488281
78749,6,2024-08-24 13:40:55.753+00,4780,10642,-10730,8735,1021,13603,-16797,38.50434875488281
78754,6,2024-08-24 13:40:55.801+00,3330,11946,-7422,8596,-3070,9709,-9011,38.50434875488281
78759,6,2024-08-24 13:40:55.852+00,4498,16756,-3750,8322,-6406,9682,163,38.50434875488281
78685,6,2024-08-24 13:40:55.113+00,6892,14520,-2266,8168,-2438,-3112,1203,38.48832702636719
78690,6,2024-08-24 13:40:55.16+00,6290,14608,-2758,8315,-1265,-1825,1394,38.48832702636719
78695,6,2024-08-24 13:40:55.212+00,6156,14368,-2792,7976,-193,-1562,1426,38.48832702636719
78700,6,2024-08-24 13:40:55.262+00,6414,15056,-2866,8199,-211,-2443,478,38.48832702636719
78705,6,2024-08-24 13:40:55.312+00,5192,13846,-3216,8650,-141,-1095,829,38.48832702636719
78710,6,2024-08-24 13:40:55.363+00,5432,15512,-3722,5514,-5085,5651,101,38.48832702636719
78715,6,2024-08-24 13:40:55.413+00,16480,21684,1952,7448,-6142,15750,-10518,38.48832702636719
78720,6,2024-08-24 13:40:55.463+00,930,7828,4990,8420,2221,25500,-10972,38.48832702636719
78725,6,2024-08-24 13:40:55.512+00,1566,5974,288,9125,27393,16714,2859,38.48832702636719
78730,6,2024-08-24 13:40:55.562+00,3928,11106,-2434,7693,32767,22342,5739,38.48832702636719
78735,6,2024-08-24 13:40:55.612+00,4570,14582,-2098,6830,23739,12729,2172,38.48832702636719
78740,6,2024-08-24 13:40:55.665+00,9432,21136,-11408,8704,15839,9572,-1016,38.50434875488281
78745,6,2024-08-24 13:40:55.713+00,7294,13126,-7336,8729,8089,8988,-14981,38.50434875488281
78750,6,2024-08-24 13:40:55.763+00,4084,10750,-10922,8786,171,12696,-16023,38.50434875488281
78755,6,2024-08-24 13:40:55.811+00,3560,12302,-7150,8677,-3516,8932,-6388,38.50434875488281
78760,6,2024-08-24 13:40:55.862+00,3562,13566,-4502,8043,-7780,8924,2712,38.50434875488281
78765,6,2024-08-24 13:40:55.913+00,8118,15914,-6810,6632,1666,939,8149,38.50434875488281
78770,6,2024-08-24 13:40:55.963+00,8364,14676,-5934,8532,-5421,-1226,-2023,38.50434875488281
78775,6,2024-08-24 13:40:56.013+00,7106,9374,-2580,7989,-2861,4,-1533,38.50434875488281
78780,6,2024-08-24 13:40:56.064+00,5240,10962,-4422,8200,5270,4991,-3082,38.50434875488281
78785,6,2024-08-24 13:40:56.114+00,6620,11650,-5112,7244,7716,2418,-1182,38.50434875488281
78790,6,2024-08-24 13:40:56.161+00,7546,15254,-216,7506,7034,4855,-3379,38.50434875488281
78795,6,2024-08-24 13:40:56.213+00,8978,18156,-9980,8546,9074,-1555,-526,38.50434875488281
78800,6,2024-08-24 13:40:56.263+00,5800,10880,-7962,8190,7837,7866,-6350,38.50434875488281
78805,6,2024-08-24 13:40:56.313+00,5996,11156,-10372,8542,518,7609,-6421,38.50434875488281
78810,6,2024-08-24 13:40:56.364+00,6450,14142,-6866,8711,-3300,1359,-3777,38.50434875488281
78815,6,2024-08-24 13:40:56.414+00,5850,11010,-1736,7760,-11617,11474,3422,38.50434875488281
78820,6,2024-08-24 13:40:56.464+00,5294,10318,-13990,7432,210,8909,5539,38.50434875488281
78825,6,2024-08-24 13:40:56.513+00,10456,16634,-4202,7249,-1412,-1164,8342,38.50434875488281
78830,6,2024-08-24 13:40:56.563+00,9502,9526,-5388,8028,1662,-5704,5277,38.50434875488281
78835,6,2024-08-24 13:40:56.614+00,8662,11806,-6104,8610,2371,-3688,44,38.50434875488281
78840,6,2024-08-24 13:40:56.664+00,7710,10040,-4448,9517,3226,-5669,-5497,38.50434875488281
78845,6,2024-08-24 13:40:56.714+00,7434,12964,-3506,7972,4187,-1261,-2029,38.50434875488281
78850,6,2024-08-24 13:40:56.762+00,10352,17324,-8592,9072,5485,-5661,-2293,38.50434875488281
78855,6,2024-08-24 13:40:56.812+00,5896,11156,-5896,7911,7226,4760,-4434,38.50434875488281
78860,6,2024-08-24 13:40:56.863+00,6268,10688,-8758,8630,4949,9563,-3540,38.50434875488281
78865,6,2024-08-24 13:40:56.914+00,6984,12864,-9938,8089,1221,5407,-4185,38.50434875488281
