id,dogId,startTime,endTime,intentsity,excercise,heartAnomoly,heartRate,respirationRate
310,6,2024-08-24 13:46:41.771+00,2024-08-24 13:46:44.565+00,1,0.84,0,68,32
311,6,2024-08-24 13:46:44.573+00,2024-08-24 13:46:47.366+00,1,0.84,0,106,21
312,6,2024-08-24 13:46:47.377+00,2024-08-24 13:46:50.17+00,1,0.84,0,117,21
313,6,2024-08-24 13:46:50.179+00,2024-08-24 13:46:52.972+00,1,0.84,0,71,21
314,6,2024-08-24 13:46:52.982+00,2024-08-24 13:46:55.776+00,1,0.84,0,66,21
315,6,2024-08-24 13:46:55.784+00,2024-08-24 13:46:58.577+00,1,0.84,0,66,21
316,6,2024-08-24 13:46:58.588+00,2024-08-24 13:47:01.381+00,1,0.84,0,76,32
317,6,2024-08-24 13:47:01.39+00,2024-08-24 13:47:04.183+00,1,0.84,0,98,32
318,6,2024-08-24 13:47:04.193+00,2024-08-24 13:47:06.987+00,1,0.84,0,73,32
319,6,2024-08-24 13:47:06.995+00,2024-08-24 13:47:09.789+00,1,0.84,0,73,32
320,6,2024-08-24 13:47:09.799+00,2024-08-24 13:47:12.59+00,1,0.84,0,85,21
321,6,2024-08-24 13:47:12.601+00,2024-08-24 13:47:15.395+00,1,0.84,0,75,32
322,6,2024-08-24 13:47:15.405+00,2024-08-24 13:47:18.196+00,1,0.84,0,60,32
323,6,2024-08-24 13:47:18.207+00,2024-08-24 13:47:21+00,1,0.84,0,73,21
324,6,2024-08-24 13:47:21.011+00,2024-08-24 13:47:23.802+00,1,0.84,0,66,21
325,6,2024-08-24 13:47:23.812+00,2024-08-24 13:47:26.606+00,1,0.84,0,79,32
326,6,2024-08-24 13:47:26.614+00,2024-08-24 13:47:29.408+00,1,0.84,0,66,32
327,6,2024-08-24 13:47:29.418+00,2024-08-24 13:47:32.211+00,1,0.84,0,58,32
328,6,2024-08-24 13:47:32.22+00,2024-08-24 13:47:35.013+00,1,0.84,0,60,32
329,6,2024-08-24 13:47:35.024+00,2024-08-24 13:47:37.815+00,1,0.84,0,72,32
