id,sequenceId,measureTime,heart,respiration
78788,282,2024-08-24 13:40:51.938+00,65.64024077207985,8099.766669287433
78793,282,2024-08-24 13:40:51.989+00,-79.47710736243629,8092.842680606521
78798,282,2024-08-24 13:40:52.039+00,21.25078130788835,8087.1880267803
78803,282,2024-08-24 13:40:52.089+00,37.431000602639784,8082.811201299875
78808,282,2024-08-24 13:40:52.14+00,-24.958789341384634,8079.722496107969
78813,282,2024-08-24 13:40:52.19+00,-26.041179693660535,8077.935641014508
78818,282,2024-08-24 13:40:52.237+00,23.9244297958319,8077.466879210571
78823,282,2024-08-24 13:40:52.289+00,48.751522959615144,8078.331625783744
78828,282,2024-08-24 13:40:52.339+00,-69.77033337945117,8080.539070813956
78833,282,2024-08-24 13:40:52.389+00,-26.941530236031582,8084.085274165777
78838,282,2024-08-24 13:40:52.44+00,58.40127177426325,8088.945449755649
78843,282,2024-08-24 13:40:52.49+00,100.3598942781054,8095.066246351381
78848,282,2024-08-24 13:40:52.54+00,-121.60584671833124,8102.358891368777
78853,282,2024-08-24 13:40:52.588+00,-237.5379145841446,8110.69406508721
78858,282,2024-08-24 13:40:52.64+00,332.98322349022874,8119.899305269718
78863,282,2024-08-24 13:40:52.69+00,538.1095750863901,8129.759595799379
78868,282,2024-08-24 13:40:52.74+00,-1587.2386805200942,8140.021558381669
78873,282,2024-08-24 13:40:52.79+00,1528.0729697130243,8150.4013382154035
78878,282,2024-08-24 13:40:52.841+00,-703.0683534819196,8160.595860030902
78883,282,2024-08-24 13:40:52.891+00,303.0223686046274,8170.296693736083
78888,282,2024-08-24 13:40:52.939+00,-199.0689533948619,8179.205467415987
78893,282,2024-08-24 13:40:52.99+00,-418.9365662331039,8187.049684434852
78898,282,2024-08-24 13:40:53.04+00,953.9261119090703,8193.597833085252
78903,282,2024-08-24 13:40:53.09+00,-472.3425274901585,8198.672712180192
78908,282,2024-08-24 13:40:53.141+00,-311.18669507410516,8202.161911898365
78913,282,2024-08-24 13:40:53.188+00,391.1996365832863,8204.024463270309
78918,282,2024-08-24 13:40:53.238+00,-170.38100064916986,8204.292908898682
78923,282,2024-08-24 13:40:53.29+00,278.00679168071497,8203.07045954623
78928,282,2024-08-24 13:40:53.34+00,-413.02584819926403,8200.5234155483
78933,282,2024-08-24 13:40:53.391+00,228.83014369377338,8196.869541361888
78938,282,2024-08-24 13:40:53.441+00,-31.400988302697474,8192.363467372823
78943,282,2024-08-24 13:40:53.491+00,118.11536190257057,8187.280390969858
78948,282,2024-08-24 13:40:53.54+00,10.758196106001748,8181.899384552602
78953,282,2024-08-24 13:40:53.59+00,-622.2435227709594,8176.487563856003
78958,282,2024-08-24 13:40:53.64+00,902.0803900836435,8171.2862559508485
78961,283,2024-08-24 13:40:53.671+00,-863.1701911698897,8156.020808560592
78966,283,2024-08-24 13:40:53.721+00,869.035948378632,8151.230608699986
78971,283,2024-08-24 13:40:53.771+00,-530.7557613406476,8147.793661667371
78976,283,2024-08-24 13:40:53.822+00,-239.30998691514012,8145.885491619026
78981,283,2024-08-24 13:40:53.872+00,793.2103826820801,8145.603700707169
78986,283,2024-08-24 13:40:53.92+00,-550.9128169968012,8146.965256719718
78991,283,2024-08-24 13:40:53.971+00,-59.445774813577394,8149.906568281102
78996,283,2024-08-24 13:40:54.021+00,343.6104779433735,8154.286033768233
79001,283,2024-08-24 13:40:54.071+00,-187.9286469061602,8159.888876118251
79006,283,2024-08-24 13:40:54.122+00,-70.53585350184947,8166.434156345537
79011,283,2024-08-24 13:40:54.169+00,145.30791064080327,8173.583877880374
79016,283,2024-08-24 13:40:54.219+00,-45.019490202535,8180.954077705305
79021,283,2024-08-24 13:40:54.271+00,-27.964929946340146,8188.127768136717
79026,283,2024-08-24 13:40:54.321+00,-32.49244896440563,8194.669549286122
79031,283,2024-08-24 13:40:54.372+00,113.37565347277108,8200.141655656042
79036,283,2024-08-24 13:40:54.422+00,-76.92291809001858,8204.12112591782
79041,283,2024-08-24 13:40:54.472+00,-52.07483092215515,8206.217689269228
