id,sequenceId,measureTime,heart,respiration
48304,173,2024-08-24 12:54:19.085+00,16.055345801782654,8089.166684182878
48307,173,2024-08-24 12:54:19.115+00,30.702780529726734,8094.607327718047
48310,173,2024-08-24 12:54:19.214+00,86.80070717773013,8100.174607926999
48313,173,2024-08-24 12:54:19.244+00,-131.4352700617964,8105.8140510395
48316,173,2024-08-24 12:54:19.345+00,24.547721694742375,8111.477560078188
46761,168,2024-08-24 15:53:27.772+00,-1.0406075439410551,8172.6834469201285
46762,168,2024-08-24 15:53:27.782+00,3.2952097619666256,8172.949323980051
46763,168,2024-08-24 15:53:27.792+00,6.335367723388096,8173.219970520658
46764,168,2024-08-24 15:53:27.802+00,7.760922747884168,8173.495140578211
46765,168,2024-08-24 15:53:27.812+00,8.505772030962238,8173.774581810869
46766,168,2024-08-24 15:53:27.822+00,9.527419344458218,8174.058035760237
46767,168,2024-08-24 15:53:27.832+00,10.441389181672138,8174.345238121552
46768,168,2024-08-24 15:53:27.842+00,9.530281227620767,8174.635919022193
46769,168,2024-08-24 15:53:27.852+00,5.4225943302796304,8174.929803308241
46770,168,2024-08-24 15:53:27.862+00,-0.9947009432517152,8175.226610838761
46771,168,2024-08-24 15:53:27.872+00,-6.469467987005509,8175.526056787434
46772,168,2024-08-24 15:53:27.882+00,-7.768375826631928,8175.827851951168
46773,168,2024-08-24 15:53:27.892+00,-4.855142699205499,8176.131703065234
46774,168,2024-08-24 15:53:27.902+00,-1.8885490237540692,8176.437313124464
46775,168,2024-08-24 15:53:27.913+00,-4.387564747431598,8176.744381709995
46776,168,2024-08-24 15:53:27.923+00,-14.13990329910059,8177.052605321027
46777,168,2024-08-24 15:53:27.933+00,-25.94418963453959,8177.361677710981
46778,168,2024-08-24 15:53:27.943+00,-29.632820024410865,8177.671290227436
46779,168,2024-08-24 15:53:27.953+00,-17.00728101588975,8177.981132155213
46780,168,2024-08-24 15:53:27.963+00,10.905889452404827,8178.290891061922
46781,168,2024-08-24 15:53:27.973+00,42.00915655286492,8178.600253145219
46782,168,2024-08-24 15:53:27.981+00,59.13068459322282,8178.9089035810775
46783,168,2024-08-24 15:53:27.991+00,50.65674923433509,8179.216526872279
46784,168,2024-08-24 15:53:28.001+00,18.75064308838433,8179.522807196375
46785,168,2024-08-24 15:53:28.011+00,-20.840066194386324,8179.827428752346
46786,168,2024-08-24 15:53:28.021+00,-47.83646524437014,8180.1300761052
46787,168,2024-08-24 15:53:28.031+00,-49.57501609755127,8180.430434527695
46788,168,2024-08-24 15:53:28.041+00,-28.190107310926457,8180.728190338449
46789,168,2024-08-24 15:53:28.052+00,1.7556635246778063,8181.023031235636
46790,168,2024-08-24 15:53:28.062+00,23.07827627292407,8181.314646625475
46791,168,2024-08-24 15:53:28.072+00,26.211513038972274,8181.602727944783
46792,168,2024-08-24 15:53:28.082+00,13.326687053828106,8181.886968976855
46793,168,2024-08-24 15:53:28.092+00,-5.2217762581921665,8182.167066159887
46794,168,2024-08-24 15:53:28.102+00,-18.35691823962602,8182.442718887223
46795,168,2024-08-24 15:53:28.112+00,-20.17474666222666,8182.713629798749
46796,168,2024-08-24 15:53:28.122+00,-11.28458208048496,8182.979505062746
46797,168,2024-08-24 15:53:28.132+00,3.492593146285468,8183.240054647557
46798,168,2024-08-24 15:53:28.142+00,18.149104781491754,8183.49499258243
46799,168,2024-08-24 15:53:28.152+00,27.279061022277606,8183.744037206947
46800,168,2024-08-24 15:53:28.162+00,26.906525847629528,8183.986911408489
46801,168,2024-08-24 15:53:28.172+00,15.632747367905317,8184.223342847242
46802,168,2024-08-24 15:53:28.182+00,-3.746429105027561,8184.453064168258
46803,168,2024-08-24 15:53:28.193+00,-23.798104254073976,8184.675813200138
46804,168,2024-08-24 15:53:28.203+00,-35.003814776136664,8184.891333139996
46805,168,2024-08-24 15:53:28.213+00,-30.927306330989353,8185.099372724375
46806,168,2024-08-24 15:53:28.223+00,-12.816116386031103,8185.299686385865
46807,168,2024-08-24 15:53:28.233+00,10.151272995885158,8185.492034395227
46808,168,2024-08-24 15:53:28.243+00,26.011380485659483,8185.67618298888
46809,168,2024-08-24 15:53:28.253+00,27.397491074925608,8185.851904481684
46810,168,2024-08-24 15:53:28.263+00,15.917332648409399,8186.018977364996
46811,168,2024-08-24 15:53:28.273+00,0.34760225916143833,8186.177186390075
46812,168,2024-08-24 15:53:28.283+00,-9.843342223412607,8186.32632263694
46813,168,2024-08-24 15:53:28.293+00,-10.680097043091967,8186.466183568921
46814,168,2024-08-24 15:53:28.303+00,-5.198361876078995,8186.59657307313
46815,168,2024-08-24 15:53:28.313+00,0.14589733637229385,8186.717301487193
46816,168,2024-08-24 15:53:28.323+00,0.7810249013089742,8186.828185612658
46817,168,2024-08-24 15:53:28.332+00,-3.0822339409551063,8186.929048715513
46818,168,2024-08-24 15:53:28.342+00,-7.574815882186303,8187.019720514382
46819,168,2024-08-24 15:53:28.352+00,-8.678247844659005,8187.100037156936
46820,168,2024-08-24 15:53:28.362+00,-5.1091776137021325,8187.169841185179
46821,168,2024-08-24 15:53:28.372+00,1.2855964959368074,8187.228981490279
46822,168,2024-08-24 15:53:28.382+00,7.2738592744291415,8187.277313257712
46823,168,2024-08-24 15:53:28.392+00,10.396574320767181,8187.314697903512
46824,168,2024-08-24 15:53:28.402+00,10.050464429049308,8187.341003002421
46825,168,2024-08-24 15:53:28.412+00,7.200217374344502,8187.356102208833
46826,168,2024-08-24 15:53:28.422+00,3.409468956994189,8187.359875171446
46827,168,2024-08-24 15:53:28.432+00,0.01359379217169766,8187.352207442523
46828,168,2024-08-24 15:53:28.442+00,-2.235369377194591,8187.332990382776
46829,168,2024-08-24 15:53:28.452+00,-3.2038626739260376,8187.302121062853
46830,168,2024-08-24 15:53:28.462+00,-3.3155743136775238,8187.259502162463
46831,168,2024-08-24 15:53:28.473+00,-3.3895058746280813,8187.2050418681565
46832,168,2024-08-24 15:53:28.483+00,-4.237461009735803,8187.13865377085
46833,168,2024-08-24 15:53:28.493+00,-6.065307523940987,8187.060256764143
46834,168,2024-08-24 15:53:28.503+00,-8.05626518128584,8186.969774944491
46835,168,2024-08-24 15:53:28.513+00,-8.599766374671788,8186.867137514332
46836,168,2024-08-24 15:53:28.523+00,-6.246908094961513,8186.752278689227
46837,168,2024-08-24 15:53:28.533+00,-0.8525561156647615,8186.625137610096
46838,168,2024-08-24 15:53:28.546+00,5.956509032872782,8186.4856582615685
46839,168,2024-08-24 15:53:28.556+00,11.488821198993813,8186.333789397532
46840,168,2024-08-24 15:53:28.566+00,13.512494990182413,8186.169484474893
46841,168,2024-08-24 15:53:28.576+00,11.55191618634864,8185.992701596536
46842,168,2024-08-24 15:53:28.586+00,7.020370578154192,8185.803403464476
46843,168,2024-08-24 15:53:28.596+00,2.1380256761682803,8185.601557344111
46844,168,2024-08-24 15:53:28.606+00,-1.4669297673790473,8185.3871350404725
46845,168,2024-08-24 15:53:28.612+00,-3.390070369255645,8185.160112887348
46846,168,2024-08-24 15:53:28.622+00,-3.993722107037505,8184.9204717500525
46847,168,2024-08-24 15:53:28.632+00,-3.5750363429110545,8184.668197042642
46848,168,2024-08-24 15:53:28.642+00,-2.199076865525879,8184.403278760263
46849,168,2024-08-24 15:53:28.652+00,-0.4613356683950163,8184.125711527269
46850,168,2024-08-24 15:53:28.662+00,-0.22946905390535202,8183.835494661646
46851,168,2024-08-24 15:53:28.672+00,-4.003448737018595,8183.532632256295
46852,168,2024-08-24 15:53:28.682+00,-12.613431390334007,8183.217133277577
46853,168,2024-08-24 15:53:28.692+00,-22.84334448246254,8182.889011681474
46854,168,2024-08-24 15:53:28.702+00,-27.501861107387953,8182.548286547686
46855,168,2024-08-24 15:53:28.712+00,-19.189202309776157,8182.194982231835
46856,168,2024-08-24 15:53:28.722+00,3.935934005119768,8181.82912853591
46857,168,2024-08-24 15:53:28.732+00,34.45886932209723,8181.450760897005
46858,168,2024-08-24 15:53:28.742+00,57.70532773927606,8181.059920594281
46859,168,2024-08-24 15:53:28.753+00,59.50054438987016,8180.656654974064
46860,168,2024-08-24 15:53:28.763+00,35.3384441821282,8180.24101769286
46861,168,2024-08-24 15:53:28.773+00,-5.308254764374207,8179.813068978014
46862,168,2024-08-24 15:53:28.783+00,-43.25193093264196,8179.372875905638
46863,168,2024-08-24 15:53:28.793+00,-60.408355199608295,8178.920512695402
46864,168,2024-08-24 15:53:28.803+00,-50.29618081278767,8178.45606102165
46865,168,2024-08-24 15:53:28.813+00,-21.246811818461875,8177.979610340226
46866,168,2024-08-24 15:53:28.823+00,9.608519935450266,8177.491258230333
46867,168,2024-08-24 15:53:28.833+00,27.09489173471922,8176.991110750628
46868,168,2024-08-24 15:53:28.843+00,26.134694533033326,8176.479282808669
46869,168,2024-08-24 15:53:28.853+00,12.52146721101392,8175.955898542775
46871,168,2024-08-24 15:53:28.873+00,-11.075535877960814,8174.875006115854
46873,168,2024-08-24 15:53:28.894+00,-1.2985335276048662,8173.749626380143
46875,168,2024-08-24 15:53:28.914+00,16.154624834060055,8172.581126058791
46877,168,2024-08-24 15:53:28.934+00,12.51792909774802,8171.371059394331
46879,168,2024-08-24 15:53:28.954+00,-13.3359051098285,8170.121182072046
46881,168,2024-08-24 15:53:28.972+00,-25.80494161038425,8168.833465156638
46883,168,2024-08-24 15:53:28.992+00,2.393429409308806,8167.510108823859
46885,168,2024-08-24 15:53:29.012+00,25.307308327267286,8166.153555655588
46887,168,2024-08-24 15:53:29.033+00,3.316382061987361,8164.766503256709
46889,168,2024-08-24 15:53:29.053+00,-17.429734610216123,8163.351915943364
46891,168,2024-08-24 15:53:29.073+00,-4.958436858695938,8161.9130352463135
46893,168,2024-08-24 15:53:29.093+00,7.206518702082736,8160.453388968325
46895,168,2024-08-24 15:53:29.113+00,4.650054211694668,8158.976798532825
46897,168,2024-08-24 15:53:29.133+00,2.640827005286913,8157.487384361645
46899,168,2024-08-24 15:53:29.153+00,-0.8235699104657873,8155.989569023483
46901,168,2024-08-24 15:53:29.174+00,-6.781169956450107,8154.488077901923
46903,168,2024-08-24 15:53:29.194+00,-2.1627675942185633,8152.987937142869
46905,168,2024-08-24 15:53:29.214+00,7.632673335170629,8151.494468655754
46907,168,2024-08-24 15:53:29.234+00,3.25876017669328,8150.013281961468
46909,168,2024-08-24 15:53:29.254+00,-9.51717569700924,8148.55026270335
46911,168,2024-08-24 15:53:29.274+00,-8.278459399984918,8147.111557664384
46913,168,2024-08-24 15:53:29.294+00,4.6168497503956125,8145.703556164956
46915,168,2024-08-24 15:53:29.313+00,9.464906913663558,8144.33286774968
46917,168,2024-08-24 15:53:29.333+00,6.354103307072033,8143.006296109788
46919,168,2024-08-24 15:53:29.353+00,4.439210743585992,8141.730809227911
46921,168,2024-08-24 15:53:29.373+00,-2.0467340003197974,8140.513505775347
46923,168,2024-08-24 15:53:29.393+00,-12.162262194996838,8139.361577837511
46925,168,2024-08-24 15:53:29.413+00,-12.544999860130527,8138.282270091541
46927,168,2024-08-24 15:53:29.433+00,-5.4279092641814835,8137.282835608762
46929,168,2024-08-24 15:53:29.454+00,5.208442138774985,8136.370488504688
46931,168,2024-08-24 15:53:29.474+00,19.4775764517654,8135.552353709849
46933,168,2024-08-24 15:53:29.494+00,8.326372825185809,8134.835414184596
46935,168,2024-08-24 15:53:29.514+00,-24.75110258301288,8134.226455950602
46937,168,2024-08-24 15:53:29.534+00,-1.9586749974963935,8133.732011360438
46939,168,2024-08-24 15:53:29.554+00,59.12487272493032,8133.358301072932
46941,168,2024-08-24 15:53:29.574+00,22.09528551215453,8133.111175245336
46943,168,2024-08-24 15:53:29.595+00,-78.94818318853473,8132.996054492712
46945,168,2024-08-24 15:53:29.615+00,-64.1349740610869,8133.017871201539
46947,168,2024-08-24 15:53:29.635+00,25.962581185192715,8133.181011815766
46949,168,2024-08-24 15:53:29.655+00,24.80097581502691,8133.48926073787
46951,168,2024-08-24 15:53:29.673+00,-8.558560404384242,8133.945746504602
46953,168,2024-08-24 15:53:29.693+00,45.523014618109414,8134.552890905855
46955,168,2024-08-24 15:53:29.713+00,90.10752512584574,8135.312361714848
46957,168,2024-08-24 12:54:02.098+00,14.628770902136312,8136.225029687924
46959,168,2024-08-24 12:54:02.118+00,-89.87243657903154,8137.290930470416
46961,168,2024-08-24 12:54:02.138+00,-99.921293979728,8138.509232011639
46963,168,2024-08-24 12:54:02.158+00,-32.626211879339806,8139.878208046868
46965,168,2024-08-24 12:54:02.177+00,28.31490602898548,8141.395218145837
46967,168,2024-08-24 12:54:02.197+00,50.40486932835796,8143.056694759475
46969,168,2024-08-24 12:54:02.217+00,38.042330321791404,8144.858137621398
46971,168,2024-08-24 12:54:02.237+00,-5.456325854207817,8146.794115781918
46973,168,2024-08-24 12:54:02.257+00,2.3793872761866224,8148.858277472271
46975,168,2024-08-24 12:54:02.277+00,132.904364982871,8151.043367915616
46977,168,2024-08-24 12:54:02.297+00,146.70494189835728,8153.341255118653
46979,168,2024-08-24 12:54:02.318+00,-201.23670359777248,8155.742963594359
46981,168,2024-08-24 12:54:02.338+00,-477.7761789763088,8158.238715880576
46983,168,2024-08-24 12:54:02.358+00,-111.64171181852623,8160.81798163023
46985,168,2024-08-24 12:54:02.378+00,469.65666159000807,8163.46953395718
46987,168,2024-08-24 12:54:02.398+00,435.075486424891,8166.1815126289675
46989,168,2024-08-24 12:54:02.418+00,-76.28130972354737,8168.941493608488
46991,168,2024-08-24 12:54:02.438+00,-320.0475870916474,8171.736564368116
46993,168,2024-08-24 12:54:02.457+00,-135.64783300116255,8174.553404334515
46995,168,2024-08-24 12:54:02.477+00,68.84453936878404,8177.378369766938
46997,168,2024-08-24 12:54:02.497+00,53.96725533037623,8180.19758232118
46999,168,2024-08-24 12:54:02.517+00,-44.292454021780316,8182.997020504251
47001,168,2024-08-24 12:54:02.537+00,-50.642654306658144,8185.762613186764
47003,168,2024-08-24 12:54:02.557+00,13.833700768775065,8188.480334312934
47005,168,2024-08-24 12:54:02.577+00,71.49990320456702,8191.136297932343
47007,168,2024-08-24 12:54:02.598+00,128.48027581799607,8193.716852672576
47009,168,2024-08-24 12:54:02.618+00,133.87144375001265,8196.208674775718
47011,168,2024-08-24 12:54:02.638+00,-38.306001065701075,8198.598858833797
47013,168,2024-08-24 12:54:02.658+00,-278.6940848725899,8200.875005378248
47015,168,2024-08-24 12:54:02.678+00,-261.7313002574784,8203.025304502626
47017,168,2024-08-24 12:54:02.698+00,40.45915734663778,8205.03861472485
47019,168,2024-08-24 12:54:02.718+00,290.5172893762936,8206.9045363251
47021,168,2024-08-24 12:54:02.739+00,262.24025429318084,8208.613478431722
47023,168,2024-08-24 12:54:02.759+00,18.22568585643069,8210.156719177643
47025,168,2024-08-24 12:54:02.779+00,-211.7312706826724,8211.526458319146
47027,168,2024-08-24 12:54:02.797+00,-213.48790274428507,8212.71586179963
47029,168,2024-08-24 12:54:02.817+00,-41.83749387577719,8213.71909784787
47031,168,2024-08-24 12:54:02.837+00,81.00183515134825,8214.531364318587
47033,168,2024-08-24 12:54:02.857+00,109.91330067417172,8215.14890710834
47035,168,2024-08-24 12:54:02.878+00,96.73273870746755,8215.56902961033
47037,168,2024-08-24 12:54:02.898+00,13.785799962971465,8215.790093304784
47039,168,2024-08-24 12:54:02.918+00,-65.6425689326448,8215.81150971414
47041,169,2024-08-24 12:54:02.938+00,-20.78062755903822,8212.528902290855
47043,169,2024-08-24 12:54:02.958+00,7.260391895126587,8213.24014903171
47045,169,2024-08-24 12:54:02.978+00,-119.53523147914369,8213.82908112633
47047,169,2024-08-24 12:54:02.998+00,-155.2066273167777,8214.293615041835
47049,169,2024-08-24 12:54:03.019+00,81.3317349178372,8214.631742256011
47051,169,2024-08-24 12:54:03.039+00,286.32208304434977,8214.841476762134
47053,169,2024-08-24 12:54:03.059+00,166.07464781328025,8214.920803705956
47055,169,2024-08-24 12:54:03.079+00,-111.33411153013927,8214.86763022296
47057,169,2024-08-24 12:54:03.099+00,-237.77728925977212,8214.679739514833
47059,169,2024-08-24 12:54:03.119+00,-149.1851679267387,8214.354749160886
47061,169,2024-08-24 12:54:03.139+00,40.81088954203315,8213.890074597784
47063,169,2024-08-24 12:54:03.158+00,179.9929355797945,8213.282898619147
47065,169,2024-08-24 12:54:03.178+00,121.34588238637703,8212.530147649031
47067,169,2024-08-24 12:54:03.198+00,-89.91520997021738,8211.628475434298
47069,169,2024-08-24 12:54:03.218+00,-164.04647036018056,8210.574254686317
47071,169,2024-08-24 12:54:03.238+00,30.30507680500921,8209.363577084001
47073,169,2024-08-24 12:54:03.258+00,209.0110360309509,8207.992261927766
47075,169,2024-08-24 12:54:03.278+00,86.48570957635351,8206.455873607829
47077,169,2024-08-24 12:54:03.299+00,-174.07998289292792,8204.749747922804
47079,169,2024-08-24 12:54:03.319+00,-214.21063773787006,8202.869027158886
47081,169,2024-08-24 12:54:03.339+00,-12.946094277704509,8200.808703715404
47083,169,2024-08-24 12:54:03.359+00,154.20504060442093,8198.563671939239
47085,169,2024-08-24 12:54:03.379+00,153.94957042084974,8196.12878770962
47087,169,2024-08-24 12:54:03.399+00,46.657388469519816,8193.498935200001
47089,169,2024-08-24 12:54:03.419+00,-107.96775151263128,8190.6691001388945
47091,169,2024-08-24 12:54:03.438+00,-175.7876024380826,8187.634448799662
47093,169,2024-08-24 12:54:03.458+00,-16.182217016992325,8184.390411870894
47095,169,2024-08-24 12:54:03.478+00,180.95499539902036,8180.932772290853
47097,169,2024-08-24 12:54:03.498+00,110.01002636402866,8177.257756073048
47099,169,2024-08-24 12:54:03.518+00,-111.85946834337048,8173.362125105353
47101,169,2024-08-24 12:54:03.538+00,-161.71452200956347,8169.243270873935
47103,169,2024-08-24 12:54:03.558+00,-23.99983374553482,8164.899308047458
47105,169,2024-08-24 12:54:03.579+00,139.8696165900592,8160.32916685075
47107,169,2024-08-24 12:54:03.599+00,187.49031697457704,8155.5326831610255
47109,169,2024-08-24 12:54:03.619+00,-16.23719658033436,8150.510685275386
47111,169,2024-08-24 12:54:03.639+00,-270.37350037612873,8145.265076325126
47113,169,2024-08-24 12:54:03.659+00,-143.56200197016275,8139.798911352186
47115,169,2024-08-24 12:54:03.679+00,201.02914170379776,8134.1164681152095
47117,169,2024-08-24 12:54:03.699+00,203.1894474083947,8128.223310753033
47119,169,2024-08-24 12:54:03.72+00,-51.76375932843789,8122.1263455044555
47121,169,2024-08-24 12:54:03.74+00,-92.2926138088859,8115.833867766071
